specification,clip,term,abs_smd
reduced,0.02,cat1_COPD,0.06512805452435212
reduced,0.02,cat1_Cirrhosis,0.017926897805304688
reduced,0.02,cat1_Colon Cancer,0.01703880151236448
reduced,0.02,cat1_Coma,0.001410470270441215
reduced,0.02,cat1_Lung Cancer,0.039993670284460776
reduced,0.02,cat1_MOSF w/Malignancy,0.010326487441010926
reduced,0.02,cat1_MOSF w/Sepsis,0.021015145144860616
reduced,0.02,cat2_Colon Cancer,0.0007075581689508533
reduced,0.02,cat2_Coma,0.01297544384585214
reduced,0.02,cat2_Lung Cancer,0.009329047025376538
reduced,0.02,cat2_MOSF w/Malignancy,0.03117719415946846
reduced,0.02,cat2_MOSF w/Sepsis,0.005575155026565729
reduced,0.02,ca_No,0.013054118079771745
reduced,0.02,ca_Yes,0.017318444060223384
reduced,0.02,sex_Male,0.030724986103425278
reduced,0.02,dnr1_Yes,0.03146135756357148
reduced,0.02,ninsclas_Medicare,0.04771209059039308
reduced,0.02,ninsclas_Medicare & Medicaid,0.020311528056897905
reduced,0.02,ninsclas_No insurance,0.0016614778754833644
reduced,0.02,ninsclas_Private,0.017768899517314904
reduced,0.02,ninsclas_Private & Medicare,0.02008522722202669
reduced,0.02,resp_Yes,0.012518430246508679
reduced,0.02,card_Yes,0.007209695239147063
reduced,0.02,neuro_Yes,0.032179792839525274
reduced,0.02,gastr_Yes,0.009754832654166733
reduced,0.02,renal_Yes,0.0020488038859176093
reduced,0.02,meta_Yes,0.005677644578279342
reduced,0.02,hema_Yes,0.019288272840910826
reduced,0.02,seps_Yes,0.024700192232630546
reduced,0.02,trauma_Yes,0.013239850095257874
reduced,0.02,ortho_Yes,0.0054460698121723845
reduced,0.02,race_other,0.009863595612537128
reduced,0.02,race_white,0.005483034472173086
reduced,0.02,income_$25-$50k,0.0247921987554184
reduced,0.02,income_> $50k,0.0033704067635801313
reduced,0.02,income_Under $11k,0.002146778454267975
reduced,0.05,cardiohx,0.0018239038381628026
reduced,0.05,chfhx,0.0003992009866826042
reduced,0.05,dementhx,0.05091399008346806
reduced,0.05,psychhx,0.01242595994204303
reduced,0.05,chrpulhx,0.02180340331047182
reduced,0.05,renalhx,0.0183409051175427
reduced,0.05,liverhx,0.0007539450162436728
reduced,0.05,gibledhx,0.012618770233929339
reduced,0.05,malighx,0.009535361415941487
reduced,0.05,immunhx,0.005575534145444454
reduced,0.05,transhx,0.024137314660162383
reduced,0.05,amihx,0.004455819096418579
reduced,0.05,age,0.004351334139515939
reduced,0.05,edu,0.007579777898574249
reduced,0.05,surv2md1,0.01300809232987715
reduced,0.05,das2d3pc,0.03445656496713496
reduced,0.05,aps1,0.04217591172770202
reduced,0.05,scoma1,0.012275228211651855
reduced,0.05,meanbp1,0.021725212587100286
reduced,0.05,wblc1,0.04127058982554799
reduced,0.05,hrt1,0.046513123241685106
reduced,0.05,resp1,0.02332726580498669
reduced,0.05,temp1,0.014133217374542068
reduced,0.05,pafi1,0.023021546205337754
reduced,0.05,alb1,0.000988717580009836
reduced,0.05,hema1,0.025435691003472587
reduced,0.05,bili1,0.004918268179760792
reduced,0.05,crea1,0.03119910020258062
reduced,0.05,sod1,0.017486728981533337
reduced,0.05,pot1,0.022207524456378268
reduced,0.05,paco21,0.046046122343946005
reduced,0.05,ph1,0.028944489904526263
reduced,0.05,wtkilo1,0.037082234715743075
reduced,0.05,adld3p,0.16526433158083875
reduced,0.05,urin1,0.07959689491749812
reduced,0.05,cat1_CHF,0.010302516603693085
reduced,0.05,cat1_COPD,0.06683093629707257
reduced,0.05,cat1_Cirrhosis,0.017457805423943023
reduced,0.05,cat1_Colon Cancer,0.01710714887576102
reduced,0.05,cat1_Coma,0.023153055769545204
reduced,0.05,cat1_Lung Cancer,0.04041352230734116
reduced,0.05,cat1_MOSF w/Malignancy,0.011568474427676112
reduced,0.05,cat1_MOSF w/Sepsis,0.0260556526772238
reduced,0.05,cat2_Colon Cancer,0.0007659200212495482
reduced,0.05,cat2_Coma,0.012927190085992408
reduced,0.05,cat2_Lung Cancer,0.009372530428481194
reduced,0.05,cat2_MOSF w/Malignancy,0.01864709098757207
reduced,0.05,cat2_MOSF w/Sepsis,0.014304957533189467
reduced,0.05,ca_No,0.008877624932214554
reduced,0.05,ca_Yes,0.013438882057404197
reduced,0.05,sex_Male,0.026143797266311664
reduced,0.05,dnr1_Yes,0.03325152137285321
reduced,0.05,ninsclas_Medicare,0.041634709296227
reduced,0.05,ninsclas_Medicare & Medicaid,0.012938795243091284
reduced,0.05,ninsclas_No insurance,0.0007673162793536914
reduced,0.05,ninsclas_Private,0.023316335526991715
reduced,0.05,ninsclas_Private & Medicare,0.02078495135047698
reduced,0.05,resp_Yes,0.009922125195162538
reduced,0.05,card_Yes,0.020792518196060643
reduced,0.05,neuro_Yes,0.050266065719700104
reduced,0.05,gastr_Yes,0.004738998390074022
reduced,0.05,renal_Yes,0.010327599733180747
reduced,0.05,meta_Yes,0.006452475571585868
reduced,0.05,hema_Yes,0.012018219471228464
reduced,0.05,seps_Yes,0.02878605146614399
reduced,0.05,trauma_Yes,0.013727665198615544
reduced,0.05,ortho_Yes,0.005575866979994679
reduced,0.05,race_other,0.009114815889841449
reduced,0.05,race_white,0.005249401849998274
reduced,0.05,income_$25-$50k,0.025980107352425858
reduced,0.05,income_> $50k,0.004474426390260845
reduced,0.05,income_Under $11k,0.002050658017798804
