gene,n,mean_difference,ci_low,ci_high,p_value,q_value,sd_difference,median_difference,missing_pairs,status
CBWD2,72,0.10591491705368986,0.04265153252335341,0.1691783015840263,0.0013451767422109422,0.0019531563647786397,0.2692190897109355,0.11593370150577487,0,tested
CBWD3,72,0.03355794264802637,-0.00886266301449539,0.07597854831054812,0.11915779706961273,0.14144363014412173,0.18052206542908347,0.02617504510303803,0,tested
CBWD5,72,0.07137694463635914,-0.008074821432291601,0.1508287107050099,0.0775076522118438,0.0942875060334086,0.3381091969031678,0.062450854849339876,0,tested
CBWD7,72,-0.13306494612117098,-0.20509705746563683,-0.061032834776705125,0.00044574799844061927,0.00067333160075853,0.3065346501784879,-0.18321729217234017,0,tested
CBX1,72,0.1038332917955041,0.02918717783828914,0.17847940575271906,0.007077931891213367,0.009638822238159577,0.3176586108886339,0.150652071396705,0,tested
CBX2,72,0.17038276272325842,0.09624641725678636,0.2445191081897305,1.916780106134111e-05,3.214922264985457e-05,0.3154892769198623,0.21197138339980348,0,tested
CBX3,72,0.607861920965381,0.5287974325714097,0.6869264093593525,3.2118866387396208e-24,2.260326589031602e-23,0.3364611260037594,0.48976197745250527,0,tested
CBX4,72,0.2451637392095002,0.11061378315250478,0.37971369526649557,0.0005255513176488955,0.0007892401125488666,0.5725810744908945,0.26940667374822014,0,tested
CBX5,72,0.00021825055156508998,-0.10043942609160594,0.10087592719473612,0.9965625942315184,0.9968247095903379,0.42835153824717576,0.01252615663649026,0,tested
CBX6,72,-0.27648154826354737,-0.37805778161680526,-0.1749053149102895,7.539994253556594e-07,1.3911603991012869e-06,0.4322604818355302,-0.19912026657422,0,tested
CBX7,72,-0.30005708896888383,-0.4123182912577936,-0.18779588667997404,1.1088816599297986e-06,2.022966973382435e-06,0.4777306638658073,-0.3311081809764651,0,tested
CBX8,72,0.2274863420727104,0.15104649316329127,0.30392619098212953,9.855498699469864e-08,1.9278089473348365e-07,0.325291899790266,0.2050357088915521,0,tested
CBY1,72,-0.21664266801418297,-0.2761685971020555,-0.15711673892631045,3.9599065457122314e-10,9.163639158661078e-10,0.2533142442853351,-0.236848018957585,0,tested
CBY3,72,0.03165377203036769,-0.08461816454244711,0.1479257086031825,0.5889472928643777,0.6206058616689467,0.49479845499019104,-0.031199253719240427,0,tested
CC2D1A,72,-0.24073202587287681,-0.3127012483176815,-0.16876280342807215,4.710928953767663e-09,1.0122987236511709e-08,0.30626702471953715,-0.2865120369388099,0,tested
CC2D1B,72,-0.1620390640488411,-0.22002947016129637,-0.10404865793638585,4.2508827110392065e-07,7.980897980885715e-07,0.24677978362153943,-0.12200552229477024,0,tested
CC2D2A,72,-0.047367313156342614,-0.1746270724915605,0.07989244617887527,0.460435597856135,0.49523066311637576,0.5415574398905445,-0.06976783032769984,0,tested
CC2D2B,72,0.27639664094884253,0.18880729533546434,0.3639859865622207,2.2670830560115016e-08,4.6483269689517684e-08,0.37273889263864196,0.24617243497066,0,tested
CCAR1,72,-0.07791158640214323,-0.12983237867544617,-0.025990794128840283,0.003808525410047385,0.005316724959404672,0.22095037337413306,-0.06493553844818489,0,tested
CCAR2,72,-0.2554988672900176,-0.3185976120555923,-0.19240012252444288,1.2199558325373627e-11,3.110830113409944e-11,0.268518460619899,-0.21108392773290485,0,tested
CCBE1,72,-1.2680182739336034,-1.3887924289537115,-1.1472441189134954,4.2642364508145353e-32,7.834246967366028e-31,0.5139577706205272,-1.3783790118519195,0,tested
