gene,n,mean_difference,ci_low,ci_high,p_value,q_value,sd_difference,median_difference,missing_pairs,status
ABR,20,0.6402780495486258,0.437796830438682,0.8427592686585695,2.4760824457198006e-06,4.315460162068929e-06,0.43263885968559307,0.749550516946554,52,tested
ABR.1,2,-0.872317350604398,,,,,0.2323101458873765,-0.872317350604398,70,insufficient_pairs
ABR.2,68,0.828168346756569,0.7216200020788983,0.9347166914342397,7.249462916102071e-24,4.852158868395736e-23,0.4401886179031352,0.7885437804732469,4,tested
ABRACL,72,-0.27615984104581665,-0.38781810909900105,-0.16450157299263227,5.1770222948829695e-06,8.796115949967965e-06,0.4751648604820236,-0.22122304284104802,0,tested
ABRAXAS1,72,0.06455652963903707,-0.024353340938704365,0.15346640021677851,0.1520796614131857,0.17449854105197762,0.37835842329584163,0.08005429400360399,0,tested
ABRAXAS2,72,-0.05695876888407939,-0.10648869780174354,-0.007428839966415246,0.024812432378542876,0.03104803368095793,0.21077598796926028,-0.0337044337873547,0,tested
ABT1,65,0.706434522749903,0.635507162518185,0.7773618829816211,4.1787857515630845e-29,5.388914838744527e-28,0.28624226424162325,0.7018527632891,7,tested
ABTB1,18,0.3978562699244117,,,,,0.7927928176515223,0.3572235776801525,54,insufficient_pairs
ABTB2,52,-0.09732585395992718,-0.22309681768161718,0.028445109761762816,0.12647919674168595,0.14627847618551412,0.4517606342192469,-0.1075804457983458,20,tested
ACAA1,72,-1.4322942199226285,-1.580356387284216,-1.2842320525610411,6.0556429676210974e-30,8.98761329795007e-29,0.6300826649355171,-1.4669362633630514,0,tested
ACAA2,72,-0.7188261694932805,-0.854189501275797,-0.583462837710764,2.9541043233500764e-16,1.0237833739610126e-15,0.5760424174785232,-0.7626249472934477,0,tested
ACACB,55,-0.19730054000023756,-0.33210943780695656,-0.06249164219351852,0.004900014988578338,0.006568927095190602,0.4986681990539103,-0.11452394334379801,17,tested
ACAD11,72,-0.06106081043795689,-0.25577864017662566,0.1336570193007119,0.5337965148533529,0.5675689310644012,0.8286271318221321,-0.09780691492979998,0,tested
ACAD8,72,-1.5352213579737655,-1.6485473721377166,-1.4218953438098143,4.38554783133951e-39,5.5666053270557546e-37,0.48226200037017264,-1.6306322341830466,0,tested
ACAD9,72,-0.7186399689591442,-0.8129318695129676,-0.6243480684053208,5.171996007114415e-24,3.513245493525994e-23,0.4012618013195539,-0.744323324834705,0,tested
ACADL,72,-0.533741170956786,-0.765318254105928,-0.3021640878076439,1.8262477610826606e-05,2.9856189973834664e-05,0.9854827083022977,-0.6579363348241447,0,tested
ACADM,72,-1.434363099965591,-1.5810100927399229,-1.287716107191259,3.1251007802250646e-30,4.9454473388009586e-29,0.6240603501796527,-1.5891609631121488,0,tested
ACADS,72,-0.594057035740705,-0.723748784628309,-0.464365286853101,1.3320399400252565e-13,3.867001365241145e-13,0.5519068389677615,-0.6420762874533494,0,tested
ACADSB,72,-1.6052986594070189,-1.7530931381904793,-1.4575041806235585,5.2808523209530634e-33,1.444648911136453e-31,0.6289435087575098,-1.6884767810445493,0,tested
ACADVL,72,-0.580192227869293,-0.7196466919792814,-0.4407377637593047,4.730511496213141e-12,1.240491945674502e-11,0.5934523447099823,-0.52125595168885,0,tested
ACADVL.1,4,-0.22339962667542507,,,,,0.43829609385647916,-0.2906970560644505,68,insufficient_pairs
ACAN,9,0.86575799522479,,,,,1.4248504811677771,1.1878532516940021,63,insufficient_pairs
