gene,n_four_finite,protein_mean,rna_mean,same_direction
ALG5,72,0.002384470908974004,0.33622006796248116,True
ALG6,72,0.2553351407651211,0.40168017372349557,True
ALG8,49,0.2682089082148898,0.41935288177541513,True
ALG9,69,0.16164551278965378,0.3873739182643496,True
ALKBH1,49,0.23583334217854504,0.1286582018878096,True
ALKBH2,30,-0.16188577558959713,0.40389233015200265,False
ALKBH3,69,0.2574502805129117,0.20031918417502245,True
ALKBH4,72,0.09455051224500849,0.13715955164916724,True
ALKBH5,72,0.26823988652643765,0.1592023886975825,True
ALKBH6,43,-0.4071049168282793,0.3893771533316737,False
ALKBH7,72,-0.781256854194144,-0.11141284172682228,True
ALKBH8,68,0.12162223145551901,0.10156686742235632,True
ALOX5,72,1.6511143445994427,2.3107788237544593,True
ALOX5AP,70,1.0365082669971204,1.196044041921393,True
ALPI,34,0.4238798396886265,0.9113166357698581,True
ALPK1,36,0.534848990282659,0.6737018903362866,True
ALPK2,69,0.7156231426936787,0.9711974908439392,True
ALPL,72,0.044248318597326156,-1.09290149766132,False
ALS2,72,0.008323557952701042,-0.16316849088068014,False
ALS2CL,41,-0.4558493420839018,-2.5519194026558973,True
ALYREF,72,-0.01895140165405424,0.6923928890420338,False
AMACR,72,-1.0985600321863678,-0.6778678395872686,True
AMBP,72,-0.5993324282301793,-1.8231453720913677,True
AMBRA1,47,0.09969144991887686,-0.10387304886788025,False
AMDHD1,72,-0.9644000105181654,-1.107405400538288,True
AMDHD2,20,0.09466661245684022,-0.036997027848177044,False
AMFR,72,-0.27216156920674295,-1.139220874670525,True
AMN,72,-0.9704427975249281,-1.656206223178105,True
AMN1,33,0.11998955184917903,-0.021035942896360925,False
AMOT,64,-0.24199787356568103,-0.6740729151127622,True
AMOTL1,72,0.149086691776285,0.26782078789399827,True
AMOTL2,72,-0.04515341207981091,-0.17128367014161325,True
AMPD2,72,0.7357851711156693,0.44564216986064015,True
AMPD3,72,0.7086101781331307,0.5478040795565721,True
AMPH,49,-0.8320961810730553,-0.859143441321647,True
AMT,72,-1.6787482101668696,-1.3047778400776575,True
AMZ2,60,0.3363186027504135,0.5031620575768607,True
ANAPC1,72,0.17122808922356683,0.2842639757866836,True
ANAPC10,72,0.11769735146293042,0.008269550669565398,True
ANAPC11,46,0.15267146652566746,0.050855659397610706,True
ANAPC13,72,0.05965270972594957,-0.6813171800500304,False
ANAPC16,72,0.1698874505515099,0.04282757964263638,True
ANAPC2,72,0.08825500161750892,-0.15253512165860056,False
ANAPC4,72,0.16302762966548906,0.16964159208756635,True
ANAPC5,72,0.15150465852153175,0.1815487294096468,True
ANAPC7,72,0.05017816007421674,-0.02956863629324415,False
ANG,72,-0.5729366009645147,0.7183197153292871,False
ANGEL1,25,-0.23647128336535164,-0.12059145533400961,True
ANGEL2,69,-0.2565652564785566,0.27652791210162814,False
ANGPT2,72,1.5552335066356975,2.4582493855254404,True
ANGPTL2,72,0.9839094180936433,1.042094422900686,True
ANGPTL3,72,-0.8347358512296119,-2.0696469222515974,True
ANGPTL4,72,1.7989765884157825,5.6959659559304265,True
ANGPTL6,40,-0.48920978987744485,-0.04379022991818064,True
ANGPTL8,23,-0.5153869273834778,0.5808856683637734,False
ANK2,72,-1.3224315574210186,-2.877903820178805,True
ANK3,59,-1.0859596629121053,-1.5049219861092404,True
ANKFY1,71,-0.3607495404334942,-0.31397817682221774,True
ANKHD1,41,0.4114391314242293,0.20881165894628417,True
ANKIB1,72,-0.540880352105248,-0.15966212927241774,True
ANKLE2,72,0.2637058322768774,0.5689307552877816,True
ANKMY2,72,-0.1430176175031477,0.33431469810527203,False
ANKRD10,72,0.01486407574650278,0.15632088119074827,True
ANKRD11,68,0.39313574116859873,-0.1887798692830701,False
ANKRD13A,72,0.6735535391713027,0.850957212060867,True
ANKRD13D,29,0.23744958296036256,0.4658389099212586,True
ANKRD16,68,0.4866765445085271,0.04059504940221382,True
ANKRD17,72,-0.10327273952625556,-0.28727560434298066,True
ANKRD2,72,-1.245970512230772,-1.9762906568781418,True
ANKRD22,62,0.4751295259953481,0.32125064004009907,True
ANKRD26,29,0.2327006471428725,-0.05731415065878312,False
ANKRD27,72,-0.022284033601425675,-0.03225834632556319,True
ANKRD28,46,0.13435260430054546,-0.5054553448184196,False
ANKRD36,30,0.7931974615280564,1.084611033398619,True
ANKRD39,61,0.42039566459070277,0.5014608929932427,True
ANKRD40,36,0.24462282870742807,0.22335656303606755,True
ANKRD44,72,0.5494860384097648,0.7645858930086832,True
ANKRD46,57,-0.2492630677894144,-0.6475511570981128,True
ANKRD49,64,0.400493063228469,0.2893842203235933,True
