gene,n_all,mean_difference_all,sd_difference_all,tumor_nonfinite_all,normal_nonfinite_all,status_all,ci95_low_all,ci95_high_all,t_all,p_all,q_all,finite_fraction_all,abs_effect_rank_all,n_early,mean_difference_early,sd_difference_early,tumor_nonfinite_early,normal_nonfinite_early,status_early,ci95_low_early,ci95_high_early,t_early,p_early,q_early,finite_fraction_early,abs_effect_rank_early
CPNE4,72,-0.5846567747344602,0.3089546519207428,0,0,tested,-0.6572575586086071,-0.5120559908603133,-16.05729905711006,2.4708146515473965e-25,1.9674430736672423e-24,1.0,5068.0,37,-0.6511210910921997,0.2581610076958923,0,0,tested,-0.7371962565104094,-0.56504592567399,-15.341646714704645,2.2876570972484656e-17,3.1492746720854965e-16,1.0,4592.0
CPNE5,72,0.6610111551868397,0.603950952696038,0,0,tested,0.5190896391498567,0.8029326712238227,9.28695553543351,6.940231836896747e-14,2.0594336513513056e-13,1.0,4442.0,37,0.7620564946668867,0.6545403705068507,0,0,tested,0.5438218698212932,0.9802911195124803,7.081929397480346,2.5639176898787645e-08,7.179349090163853e-08,1.0,3837.0
CPNE6,72,-1.7761865678126183,1.1955896914384927,0,0,tested,-2.057136371450957,-1.4952367641742794,-12.605865464513748,8.647249759240391e-20,4.03502955023205e-19,1.0,879.0,37,-2.1097329047592432,1.2588082959459441,0,0,tested,-2.5294404867462106,-1.690025322772276,-10.194566006067872,3.703202323496039e-12,1.775565828870154e-11,1.0,629.0
CPNE7,72,0.35080669158994676,0.9622290262285459,0,0,tested,0.12469395583295101,0.5769194273469425,3.093539484849643,0.002827826428488072,0.003995476262275278,1.0,7926.0,37,0.2525966842263597,0.6911952195292205,0,0,tested,0.022140724249100685,0.48305264420361876,2.222940209476835,0.03258775355745651,0.04416719393374103,1.0,9838.0
CPNE8,72,0.7494956094287306,0.42454422656902446,0,0,tested,0.6497326071676042,0.8492586116898571,14.980020305906116,1.128908304125494e-23,7.5718488193814e-23,1.0,3816.0,37,0.7956672191079687,0.40692288941351007,0,0,tested,0.6599923728895828,0.9313420653263546,11.893788412718985,4.9737207024868464e-14,3.316105995330938e-13,1.0,3645.0
CPNE9,72,-0.014145177157724648,0.14748869739637607,0,0,tested,-0.04880332189509751,0.02051296757964821,-0.8137966528321577,0.4184823710409633,0.453312195815422,1.0,17333.0,37,-0.018667369436651843,0.1753488966204291,0,0,tested,-0.07713160234777919,0.0397968634744755,-0.6475613906729933,0.5213771697774517,0.5648871628462103,1.0,17002.0
CPO,72,-0.7353137394895605,0.4662141070543772,0,0,tested,-0.844868683604842,-0.6257587953742789,-13.38300125093544,4.278634897328076e-21,2.2296037975525725e-20,1.0,3910.0,37,-0.7791830472488207,0.38888548936442835,0,0,tested,-0.9088439248714223,-0.6495221696262191,-12.187611967200972,2.4494760067419773e-14,1.7300910630143578e-13,1.0,3739.0
CPOX,72,0.5309041640294978,0.3184531127810506,0,0,tested,0.45607135128066295,0.6057369767783326,14.14610513681013,2.407174087650519e-22,1.3989124473311312e-21,1.0,5577.0,37,0.5003851531681622,0.25768398188964725,0,0,tested,0.4144690360723455,0.586301270263979,11.811848133083812,6.071444749615637e-14,3.9711453120395153e-13,1.0,5975.0
CPPED1,72,-0.39881053575571057,0.44327292470729746,0,0,tested,-0.5029745663144454,-0.2946465051969758,-7.634167173942727,7.962678634139515e-11,1.9204760810269265e-10,1.0,7170.0,37,-0.47038687296729514,0.4200396909543142,0,0,tested,-0.6104350785572579,-0.3303386673773324,-6.811860181900802,5.8025375021692834e-08,1.5546033548658923e-07,1.0,6338.0
CPQ,72,-0.1827966073019304,0.41396810868778977,0,0,tested,-0.28007434370365175,-0.08551887090020904,-3.7468602403449394,0.00036138571081707874,0.0005496080373659723,1.0,11471.0,37,-0.21456557583444225,0.34746238857924205,0,0,tested,-0.3304153040350515,-0.098715847633833,-3.7562380501507273,0.000610022532939201,0.0010325347839413859,1.0,10719.0
