gene,n,mean_difference,sd_difference,tumor_nonfinite,normal_nonfinite,status,ci95_low,ci95_high,t,p,q,finite_fraction,abs_effect_rank
ACOT4,72,-0.793733944199327,0.7242575362807424,0,0,tested,-0.9639261213808159,-0.623541767017838,-9.299255465675637,6.587627687166205e-14,1.634023818676828e-13,1.0,1482.0
ACOT7,0,,,72,72,below_cohort_completeness,,,,,,0.0,
ACOT7.1,72,-1.699375396577258,0.9886430128470605,0,0,tested,-1.9316951148859758,-1.4670556782685402,-14.585323734692658,4.7511589122692124e-23,2.326190509387005e-22,1.0,173.0
ACOT8,72,-0.737657845910553,0.4744259732317786,0,0,tested,-0.8491424839723166,-0.6261732078487893,-13.193279317799576,8.851322754129767e-21,3.4522301918528396e-20,1.0,1654.0
ACOT9,72,-0.8336139455380277,0.611546265397211,0,0,tested,-0.9773202725576137,-0.6899076185184417,-11.566498375695272,5.4049970703341666e-18,1.7384922685491764e-17,1.0,1365.0
ACOT9.1,43,0.42188737469858356,0.3305017426754744,29,29,below_cohort_completeness,,,,,,0.5972222222222222,
ACOX1,72,-0.2973587626514961,0.6650588517079995,0,0,tested,-0.4536399309597409,-0.14107759434325123,-3.79390901077908,0.00030891474752530574,0.00042859593050281004,1.0,3954.0
ACOX1.1,71,-1.312291737577707,0.893584219544692,1,0,tested,-1.523799671560371,-1.100783803595043,-12.374397941545753,2.72940763280334e-19,9.565991764403004e-19,0.9861111111111112,475.0
ACOX2,72,-1.5482345113470541,0.6391711323127895,0,0,tested,-1.6984323638381662,-1.398036658855942,-20.553502494004363,1.3096988227277382e-31,2.161539819313361e-30,1.0,273.0
ACOX3,72,-0.5818130482924293,0.5429851750631195,0,0,tested,-0.7094083089449092,-0.4542177876399494,-9.0920482707301,1.5873121470345351e-13,3.8518264634577116e-13,1.0,2217.0
ACP1,72,0.35929687050065867,0.2347729633809906,0,0,tested,0.3041279288195706,0.4144658121817467,12.985886446106427,1.9695328346945465e-20,7.482366721995225e-20,1.0,3453.0
