gene,n_all,mean_difference_all,sd_difference_all,tumor_nonfinite_all,normal_nonfinite_all,status_all,ci95_low_all,ci95_high_all,t_all,p_all,q_all,finite_fraction_all,abs_effect_rank_all,n_early,mean_difference_early,sd_difference_early,tumor_nonfinite_early,normal_nonfinite_early,status_early,ci95_low_early,ci95_high_early,t_early,p_early,q_early,finite_fraction_early,abs_effect_rank_early
CTTNBP2NL,72,0.26730405137228946,0.2235834009612326,0,0,tested,0.21476452794994164,0.31984357479463726,10.144537021158717,1.8737187248117165e-15,5.094844905345566e-15,1.0,4216.0,37,0.3081308186604922,0.1832741653091516,0,0,tested,0.24702416960970858,0.3692374677112758,10.226681949507515,3.4017044667047373e-12,1.3789265174055746e-11,1.0,3988.0
CTU1,72,0.16555868652922895,0.4152794038990449,0,0,tested,0.06797281085970347,0.26314456219875443,3.382811730993961,0.0011706059737067993,0.0015640445441663176,1.0,5323.0,37,0.09163807350179705,0.4458438555655769,0,0,tested,-0.057013668916661306,0.2402898159202554,1.2502418344160813,0.21927731054606264,0.24986552210596147,1.0,6599.0
CTU2,68,0.07686581393190531,0.3308464604552709,4,4,tested,-0.0032160902115877105,0.1569477180753983,1.9158486350689927,0.059652698869097104,0.06934798451092784,0.9444444444444444,6737.0,35,0.013441775680274964,0.3141702492418745,2,2,tested,-0.09447948086475831,0.12136303222530824,0.253119503017651,0.8017000992629144,0.8231778444310803,0.9459459459459459,7867.0
CUBN,72,-1.2110862018442596,0.7115147767460083,0,0,tested,-1.3782839773386726,-1.0438884263498467,-14.44299897481234,8.01641914378557e-23,3.829432964652964e-22,1.0,623.0,37,-1.3254106223062905,0.6524312222715356,0,0,tested,-1.5429420221185353,-1.1078792224940457,-12.357100327838934,1.6357641408416752e-14,1.0318583936807042e-13,1.0,561.0
CUEDC1,72,-0.23601696416888762,0.39520812935296235,0,0,tested,-0.328886321552187,-0.14314760678558824,-5.067381466432335,3.0760208535555765e-06,4.8245904487899925e-06,1.0,4515.0,37,-0.24197695707279984,0.44597500356723524,0,0,tested,-0.39067242641205757,-0.09328148773354211,-3.300383106462839,0.002184237743479958,0.0031689864785651996,1.0,4594.0
CUL1,72,0.20308286246523988,0.15419214778459256,0,0,tested,0.16684948411406528,0.23931624081641448,11.175765141495376,2.6413538923752683e-17,8.107265338868296e-17,1.0,4868.0,37,0.20641729716234072,0.16553438069673285,0,0,tested,0.1512253867803652,0.2616092075443162,7.58505511362511,5.69477482192113e-09,1.5274840459328747e-08,1.0,4985.0
CUL2,72,0.23681441098794506,0.1532253209785031,0,0,tested,0.2008082257978258,0.2728205961780643,13.114261388881044,1.1997108499252864e-20,4.639830998147227e-20,1.0,4507.0,37,0.2630652826340241,0.1589185872189474,0,0,tested,0.21007918761919306,0.31605137764885516,10.069077961434143,5.167070648205335e-12,2.021582018966451e-11,1.0,4404.0
CUL3,72,0.04195702887705947,0.1499286968871101,0,0,tested,0.006725512369497963,0.07718854538462097,2.374576735746381,0.020274860277503946,0.024648109384908194,1.0,7313.0,37,0.040757548981775284,0.1705964728743533,0,0,tested,-0.016122146962550432,0.097637244926101,1.453245120464668,0.15481789013866762,0.18050926723636174,1.0,7416.0
CUL4A,72,0.08283478997133881,0.16141965242854173,0,0,tested,0.044903031293658045,0.12076654864901956,4.354342794746872,4.402867224798485e-05,6.425202505621851e-05,1.0,6619.0,37,0.06947157870621833,0.17252353223770947,0,0,tested,0.011949369181115978,0.12699378823132068,2.4493998609569556,0.019306827572710895,0.025118132976273005,1.0,6945.0
CUL4B,72,0.3156285023631553,0.18477071934441186,0,0,tested,0.2722095119773573,0.3590474927489533,14.494702741773432,6.627046644963326e-23,3.1941492327070395e-22,1.0,3791.0,37,0.2927524943680885,0.20487899203647406,0,0,tested,0.22444243744799314,0.3610625512881838,8.691686178720207,2.2877866933375834e-10,7.269678188220447e-10,1.0,4128.0
CUL5,72,-0.034968186478987924,0.16949091346100095,0,0,tested,-0.07479659851393783,0.004860225555961981,-1.7506242391532683,0.08433022006124873,0.09669641121487717,1.0,7446.0,37,-0.03163154204694613,0.15271717058136247,0,0,tested,-0.08254998181177853,0.019286897717886255,-1.2598921130234575,0.21581481604654146,0.24616282332417216,1.0,7558.0
CUL7,72,-0.1082881033235691,0.22218198643811538,0,0,tested,-0.16049831047804913,-0.05607789616908905,-4.135596413163911,9.577432384018879e-05,0.00013698568712642168,1.0,6200.0,37,-0.12028201719341554,0.24302310648956843,0,0,tested,-0.20130995506146884,-0.039254079325362234,-3.0106065131884883,0.00474345035509903,0.006619548407538542,1.0,6132.0
CUL9,72,-0.2695772856797083,0.24470769308136212,0,0,tested,-0.32708077438684263,-0.21207379697257395,-9.347638777891936,5.366454475571364e-14,1.3401992045349385e-13,1.0,4194.0,37,-0.300210789676465,0.23665645013831407,0,0,tested,-0.379115978631016,-0.22130560072191396,-7.716294829775265,3.8619227145791835e-09,1.0494411623925354e-08,1.0,4058.0
CUTA,72,0.0344636082159903,0.22008393908382942,0,0,tested,-0.017253581980890047,0.08618079841287066,1.3287358182589175,0.18818986775096333,0.20894419559777483,1.0,7452.0,37,0.026502187371215912,0.25161409690547815,0,0,tested,-0.05739012931126611,0.11039450405369794,0.6406895094321126,0.5257820359877318,0.5609497790280722,1.0,7638.0
CUTC,72,0.4422165947929346,0.28891982175449016,0,0,tested,0.37432376519561306,0.5101094243902562,12.987451717190385,1.9576401213770708e-20,7.447058070482582e-20,1.0,2901.0,37,0.3940101678482369,0.2910138667949692,0,0,tested,0.2969813138515209,0.4910390218449529,8.235587918675767,8.459955140943778e-10,2.5005722669887546e-09,1.0,3331.0
CUX1,72,0.1042812424302277,0.23837511971594713,0,0,tested,0.048265835509243696,0.16029664935121168,3.7120303709971108,0.00040560176041923383,0.0005592735111139375,1.0,6281.0,37,0.1649513130741106,0.23038118355555673,0,0,tested,0.08813840216718201,0.2417642239810392,4.355215347909389,0.0001056131325455192,0.00017661153906030062,1.0,5495.0
CWC15,72,0.08457984292869725,0.18440223371812406,0,0,tested,0.04124744241992012,0.12791224343747437,3.891947246886091,0.00022200036287792015,0.00031084682243024493,1.0,6588.0,37,0.0988457610305082,0.19258423258998933,0,0,tested,0.03463498100190955,0.16305654105910683,3.122037995474199,0.003533194438024855,0.004998765468913051,1.0,6481.0
CWC22,72,0.03691907499011253,0.17114948167579305,0,0,tested,-0.0032990814676970154,0.07713723144792207,1.8303808828421755,0.07139004996299295,0.08243375805045809,1.0,7404.0,37,0.02570373270419226,0.18746763023577648,0,0,tested,-0.036801087164315634,0.08820855257270016,0.834009060578735,0.40977591509387257,0.44631081823086166,1.0,7653.0
CWC25,69,0.20614534495250286,0.2501159141184974,3,3,tested,0.14606094193677444,0.2662297479682313,6.846313029088858,2.680227127815096e-09,5.0316465903144486e-09,0.9583333333333334,4825.0,35,0.18944276437618873,0.27215708711593783,2,2,tested,0.09595353396667455,0.2829319947857029,4.1180574066882025,0.0002305581748452732,0.0003726067066294413,0.9459459459459459,5186.0
CWC27.1,72,0.12137183586893133,0.21082255297686203,0,0,tested,0.07183096471093522,0.17091270702692743,4.885028492984872,6.178697579359028e-06,9.505870163162869e-06,1.0,5967.0,37,0.12702130952810306,0.2147810954806819,0,0,tested,0.05540972694557139,0.19863289211063473,3.5973392370393755,0.0009581073653020871,0.0014496191324972832,1.0,6029.0
