gene,n,mean_difference,sd_difference,tumor_nonfinite,normal_nonfinite,status,ci95_low,ci95_high,t,p,q,finite_fraction,abs_effect_rank
CYP3A5,37,-0.47884277117650126,1.3347831575695717,0,0,tested,-0.9238816332055064,-0.03380390914749615,-2.1821423576546524,0.035706430041762854,0.0481319216248535,1.0,6229.0
CYP3A7,37,-1.5105266234192305,0.8418468137785182,0,0,tested,-1.791212325723807,-1.229840921114654,-10.914307205977861,5.702183335538026e-13,3.1190514109803865e-12,1.0,1273.0
CYP46A1,37,-0.4416521073470735,0.374030279222734,0,0,tested,-0.5663600113131156,-0.3169442033810314,-7.182479706136954,1.894547629404951e-08,5.384728536468016e-08,1.0,6733.0
CYP4A11,37,-4.122838668090183,2.055725998101937,0,0,tested,-4.808251840747062,-3.4374254954333043,-12.199217498770977,2.3824164219789858e-14,1.6877680382671355e-13,1.0,86.0
CYP4A22,37,-2.618708765839828,1.2036531847516747,0,0,tested,-3.020026718184123,-2.2173908134955327,-13.233864837818961,2.1399370916618814e-15,1.876537324468451e-14,1.0,335.0
CYP4B1,37,-0.3795988195665873,0.7729341352582728,0,0,tested,-0.6373078909074771,-0.12188974822569754,-2.9873301887922517,0.00504141415993847,0.007612833213734325,1.0,7545.0
CYP4F11,37,-1.166855553705363,1.1671418975603738,0,0,tested,-1.5560000368155862,-0.77771107059514,-6.08127019960931,5.413058191241013e-07,1.2980222576993376e-06,1.0,2037.0
CYP4F12,37,-1.4470996494224881,1.0280744712389842,0,0,tested,-1.7898767440888337,-1.1043225547561426,-8.561990178110959,3.309832068644702e-10,1.180122027868323e-09,1.0,1377.0
CYP4F2,37,-4.953344028146685,1.2354142763173421,0,0,tested,-5.365251655650593,-4.541436400642778,-24.388592581188192,5.600107531341717e-24,4.565777325660715e-22,1.0,40.0
CYP4F22,37,0.061670821938046884,0.07563227288714251,0,0,tested,0.03645376666769921,0.08688787720839455,4.959906010721211,1.6981229586225393e-05,3.445612074913681e-05,1.0,15125.0
CYP4F3,37,-4.138154286437977,1.4753166830520674,0,0,tested,-4.630049358708303,-3.6462592141676504,-17.061699448869806,7.831534186362767e-19,1.592833001452169e-17,1.0,84.0
CYP4F8,37,0.00030609688907723794,0.01528178482151069,0,0,tested,-0.00478910384683912,0.005401297624993595,0.1218388237543455,0.9037042479241927,0.9178246267980082,1.0,18835.0
CYP4V2,37,-0.8712106110093606,0.6562595781797477,0,0,tested,-1.09001844823181,-0.6524027737869112,-8.075108443132656,1.348186726201652e-09,4.4498225304511296e-09,1.0,3226.0
CYP4X1,37,-0.8772147470142037,0.46563841558158386,0,0,tested,-1.0324663243301362,-0.721963169698271,-11.459297204889094,1.4457588897652456e-13,8.804420283293503e-13,1.0,3192.0
CYP4Z1,37,-1.104060758063156,0.6332413388996756,0,0,tested,-1.3151939322086699,-0.8929275839176423,-10.6053395408274,1.2625915684424347e-12,6.559164931911192e-12,1.0,2234.0
CYP51A1,37,-0.4065572316113328,0.4782623474617131,0,0,tested,-0.5660178373723757,-0.2470966258502899,-5.170783583512526,8.906829160155347e-06,1.8665264077591224e-05,1.0,7154.0
CYP7A1,37,0.010714620929579585,0.04301471033346543,0,0,tested,-0.003627197536402187,0.025056439395561354,1.5151675836368481,0.13846187929039594,0.16980072917387443,1.0,17542.0
CYP7B1,37,-0.03816806086943295,0.4526413531818874,0,0,tested,-0.1890862018310944,0.1127500800922285,-0.5129165704341542,0.6111429259454246,0.6513279493045812,1.0,16080.0
CYP8B1,37,-2.5679467056075658,0.926843093472472,0,0,tested,-2.8769715784936567,-2.258921832721475,-16.853133082267917,1.162273636970467e-18,2.261770148487282e-17,1.0,355.0
CYR61,37,-0.9375594262096235,1.246056406918995,0,0,tested,-1.3530153167146524,-0.5221035357045948,-4.576800308564635,5.432739321870049e-05,0.00010362031286999292,1.0,2927.0
CYS1,37,-2.000403074454739,0.9150164975109882,0,0,tested,-2.3054847639267098,-1.6953213849827689,-13.298095607987138,1.8502153461135308e-15,1.650015241477484e-14,1.0,702.0
CYSLTR1,37,1.0736839048436464,0.5545920975484078,0,0,tested,0.8887736933358585,1.2585941163514343,11.77615810726036,6.624143327789149e-14,4.2856116125742675e-13,1.0,2346.0
CYSLTR2,37,0.6953359148094777,1.381084802723664,0,0,tested,0.23485931568243457,1.1558125139365207,3.0624935125145987,0.004137930924100811,0.0063196579272803265,1.0,4294.0
CYSRT1,37,-0.7166912762149912,1.1420862488534074,0,0,tested,-1.0974817901245162,-0.3359007623054662,-3.8171047459233693,0.0005122576717595611,0.0008747272602087296,1.0,4121.0
CYSTM1,37,-0.796140545169853,0.5324757654752389,0,0,tested,-0.9736768044350754,-0.6186042859046306,-9.094749829014658,7.358115322454214e-11,2.8995573192546135e-10,1.0,3643.0
CYTH1,37,0.2979176794970161,0.3988669582762506,0,0,tested,0.164928814447615,0.4309065445464172,4.543275546787109,6.010136427446389e-05,0.00011411536892707132,1.0,8954.0
CYTH2,37,0.14811850883164498,0.3058315589516083,0,0,tested,0.04614919029738247,0.2500878273659075,2.9459671155367464,0.005614844313095134,0.008434975790818398,1.0,12437.0
CYTH3,37,0.03960746041361945,0.399655842292582,0,0,tested,-0.09364443166223907,0.17285935248947798,0.6028256080086487,0.5504036912449791,0.5929763524462482,1.0,16005.0
CYTH4,37,1.1763726411106328,0.6597066171689653,0,0,tested,0.9564155038686024,1.3963297783526631,10.846632786135912,6.779502321921285e-13,3.663836754832603e-12,1.0,2009.0
CYTIP,37,1.462466077484604,0.9007467974971046,0,0,tested,1.162142142873159,1.7627900120960491,9.876064930426974,8.659635547876429e-12,3.905508020698204e-11,1.0,1353.0
CYTL1,37,0.7468772091140383,0.5952193000271732,0,0,tested,0.5484212138914681,0.9453332043366085,7.632609866859454,4.9461609848585856e-09,1.5217409731392348e-08,1.0,3924.0
CYYR1,37,0.949151862938524,0.6774487729236504,0,0,tested,0.7232791964494933,1.1750245294275548,8.522364521421732,3.7067035323543676e-10,1.3129643691850724e-09,1.0,2877.0
D2HGDH,37,-0.9660511757102681,0.6626571068305559,0,0,tested,-1.1869920551833688,-0.7451102962371674,-8.867723341965974,1.3904730670925406e-10,5.227747577828544e-10,1.0,2803.0
DAAM1,37,-0.6824969399609568,0.37655472143198854,0,0,tested,-0.8080465348651062,-0.5569473450568074,-11.024869898457824,4.3033423043356735e-13,2.4025300970044053e-12,1.0,4372.0
DAAM2,37,-0.051398360339017915,0.5879808001914346,0,0,tested,-0.24744091955782566,0.1446441988797898,-0.5317248799402187,0.5981827251965319,0.6388113283137082,1.0,15509.0
DAB1,37,-0.1277730945818856,0.12980850984015363,0,0,tested,-0.17105340657363458,-0.08449278259013662,-5.987383978600523,7.224485551184134e-07,1.7096352333372687e-06,1.0,12988.0
DAB2,37,-0.24735681624803676,0.6491288805184702,0,0,tested,-0.46378716050119656,-0.03092647199487697,-2.317895288044587,0.026251538180926768,0.03603918164408694,1.0,9960.0
DAB2IP,37,-0.030038198625888076,0.5250078947325372,0,0,tested,-0.2050845458194275,0.14500814856765135,-0.34802377433255716,0.7298492047603644,0.761576527171749,1.0,16428.0
DACH1,37,-2.0559251200067488,0.42717937444690296,0,0,tested,-2.198353814591324,-1.9134964254221731,-29.275065775981982,1.0643639931344505e-26,1.6777037441781775e-24,1.0,661.0
DACH2,37,-0.6085207608732391,0.30986285636321403,0,0,tested,-0.7118341808837506,-0.5052073408627277,-11.945566263061568,4.3867094881543554e-14,2.965497139686906e-13,1.0,4910.0
DACT1,37,-0.3212368688035651,0.6425708492336353,0,0,tested,-0.535480656563558,-0.10699308104357222,-3.0409216216999355,0.00438022872886219,0.00666120167281141,1.0,8515.0
DACT2,37,-0.8735923253860157,0.8002441472152259,0,0,tested,-1.1404070080574016,-0.6067776427146299,-6.640291818572944,9.776461079134613e-08,2.5488871304180734e-07,1.0,3212.0
DACT3,37,0.023145204527879455,0.36103894010951615,0,0,tested,-0.09723117132260953,0.14352158037836843,0.38994902548619303,0.6988718969484604,0.7329726604258457,1.0,16766.0
DAD1,37,0.04118701087043599,0.40616917786989415,0,0,tested,-0.09423653540775609,0.17661055714862808,0.6168139290419634,0.5412390007194648,0.5842341892717386,1.0,15942.0
