gene,n,mean_difference,sd_difference,tumor_nonfinite,normal_nonfinite,status,ci95_low,ci95_high,t,p,q
C11orf95,72,-0.3895737744532893,0.4512561016587487,0,0,tested,-0.4956137596250333,-0.28353378928154527,-7.325425806120455,2.9606801943228667e-10,6.918684268778335e-10
C11orf96,72,-0.32482868414271093,1.166692234579797,0,0,tested,-0.598987918333826,-0.050669449951595835,-2.362459183048631,0.020898431124513114,0.02712516503976907
C11orf97,72,-0.423550107684938,0.49825751147841113,0,0,tested,-0.5406348826822545,-0.3064653326876215,-7.213020891811414,4.769336786468326e-10,1.096601438871768e-09
C11orf98,72,0.09747658655643679,0.2052979748010392,0,0,tested,0.04923392762358509,0.1457192454892885,4.028857396831467,0.0001388840516770836,0.00021794835707186143
C12orf10,72,0.1770215618683766,0.36040415121022046,0,0,tested,0.09233073838768355,0.2617123853490696,4.167759324404141,8.554264163023602e-05,0.00013658521543361642
C12orf29,72,0.10616522979941198,0.3054165491504955,0,0,tested,0.03439585931538659,0.17793460028343738,2.949551520748844,0.004306812097893757,0.005982033019828326
C12orf4,72,0.6349803744014251,0.3053839011333975,0,0,tested,0.5632186758252946,0.7067420729775555,17.64332410424566,1.1558377997530038e-27,1.177827211270277e-26
C12orf40,72,0.024126142181374606,0.033101914524017256,0,0,tested,0.01634757362046111,0.0319047107422881,6.184449081799058,3.53450359607146e-08,7.139216685712642e-08
C12orf42,72,0.07458801293605051,0.190920654186307,0,0,tested,0.029723858713033256,0.11945216715906776,3.3149911391468883,0.0014456933452644204,0.0020939868190282566
C12orf43,72,0.20941144295162262,0.20038398919348663,0,0,tested,0.16232351402473344,0.2564993718785118,8.867549865543769,4.1250271736667983e-13,1.1611753028463978e-12
C12orf45,72,0.019716216672850912,0.24267561031520957,0,0,tested,-0.03730975599494679,0.07674218934064861,0.6893879689322389,0.49282611518104763,0.5278297048646852
C12orf49,72,-0.11040855353003538,0.5042126210425467,0,0,tested,-0.2288927106687918,0.008075603608721033,-1.858040841754292,0.06730934498431324,0.08253609304679926
C12orf50,72,0.02093475052229284,0.06533117162540966,0,0,tested,0.005582677841290032,0.03628682320329565,2.7190274452701386,0.0082239564453367,0.01112381077024309
C12orf54,72,-0.13823523472513335,0.20527440924214682,0,0,tested,-0.18647235602313353,-0.08999811342713318,-5.714130985967238,2.4003513660689954e-07,4.5766250101074853e-07
C12orf56,72,-0.42480884675707586,0.3925800362623909,0,0,tested,-0.5170606325411664,-0.3325570609729854,-9.181879520206527,1.0838440074751122e-13,3.178974826799207e-13
C12orf57,72,0.8158636249674958,0.47094140410962854,0,0,tested,0.7051978205052878,0.9265294294297037,14.69998679335469,3.1231336631372314e-23,1.9968522731860944e-22
C12orf60,72,-0.0029564636168986406,0.4080292912702203,0,0,tested,-0.09883864634392864,0.09292571911013137,-0.06148192347659267,0.951148155460197,0.9568849360391327
