gene,n,finite_fraction,mean_difference,sd_difference,ci_low,ci_high,p_value,q_value,status,absolute_effect_rank
EFNB2,72,1.0,0.3043643803317744,0.589068943091313,0.1659399651029799,0.4427887955605688,3.9530872736038984e-05,5.787704944847446e-05,tested,3889.0
EFR3A,72,1.0,-0.30643390406032195,0.30781085361451066,-0.37876590850968883,-0.23410189961095507,2.4757678306300635e-12,5.597932090930526e-12,tested,3872.0
EFS,5,0.06944444444444445,0.08975817321113955,0.4713976071000564,,,,,insufficient_pairs,
EFTUD2,72,1.0,0.17351998060422077,0.13787003702724632,0.14112211024134463,0.20591785096709692,2.0287879059644188e-16,5.85028922113764e-16,tested,5206.0
EGF,38,0.5277777777777778,-0.8623599726040292,0.8718349343714332,,,,,insufficient_pairs,
EGFL7,47,0.6527777777777778,0.33389091204662164,1.186723876680042,,,,,insufficient_pairs,
EGFR,72,1.0,1.0774767037196158,0.30649148431403783,1.0054547358560013,1.1494986715832303,6.707361630101368e-42,2.077734252647555e-39,tested,811.0
EGLN1,72,1.0,0.49033421959371104,0.2794942070977783,0.4246563008524606,0.5560121383349614,1.5854024757566135e-23,8.222042202024317e-23,tested,2634.0
EGR1,16,0.2222222222222222,0.3224391061949631,0.563525993600689,,,,,insufficient_pairs,
EHBP1,72,1.0,0.10465248349001885,0.26835270866561883,0.041592688524146465,0.16771227845589123,0.0014722672405300709,0.0019480270010233595,tested,6275.0
EHBP1L1,72,1.0,0.9073308151330877,0.31973019961205074,0.8321979016917093,0.9824637285744661,6.931783049019527e-36,3.136437116674341e-34,tested,1170.0
EHD2,72,1.0,0.9759473947362264,0.6470775797982488,0.8238916181726476,1.128003171299805,4.086474163755141e-20,1.52090863747153e-19,tested,1010.0
EHD3,72,1.0,-0.8478843221662831,0.4626748331272893,-0.9566075776830779,-0.7391610666494882,1.4679907043043202e-24,8.499782266331412e-24,tested,1316.0
EHD4,72,1.0,-0.15734269643561666,0.43210688624722465,-0.2588828365951283,-0.05580255627610503,0.002859867982162952,0.0037168592429143803,tested,5434.0
EHHADH,72,1.0,-1.2743537412932284,0.6929374400018852,-1.4371860566738919,-1.111521425912565,1.2079799967425825e-24,7.070545707677877e-24,tested,526.0
EHMT1,60,0.8333333333333334,-0.056066891963274905,0.3961215311654486,-0.15839593422464854,0.046262150298098735,0.27737567756308606,0.302584817431003,tested,7079.0
EHMT1.1,11,0.1527777777777778,0.03881988527883689,0.27623324192861287,,,,,insufficient_pairs,
EHMT2,72,1.0,0.07062086789995413,0.19475071427772267,0.024856693679849412,0.11638504212005885,0.00297016635507356,0.0038552328483098235,tested,6834.0
EI24,72,1.0,0.01048949086596946,0.3314407351404101,-0.06739526351277417,0.0883742452447131,0.7890596839367399,0.8047849462398283,tested,7855.0
EID2,5,0.06944444444444445,-0.4153237278546988,0.21924213425507097,,,,,insufficient_pairs,
EIF1,72,1.0,0.3783971602948531,0.24615040018944978,0.3205546520380962,0.43623966855161,1.572733012471318e-20,6.014620931834756e-20,tested,3319.0
EIF1AD,72,1.0,0.6601262577978155,0.2660959730721305,0.5975967696975798,0.7226557458980513,3.043250378362197e-32,5.647543444085054e-31,tested,1936.0
EIF1AX,72,1.0,0.020946588383050056,0.4799512319519096,-0.09183642182393016,0.13372959859003028,0.7122432097239957,0.73364967529314,tested,7683.0
EIF1AY,70,0.9722222222222222,-0.23593187795466117,1.06842259068839,-0.49068825223974133,0.018824496330418966,0.06895664640559737,0.07981845791185416,tested,4516.0
EIF1B,72,1.0,-0.6764674293175255,0.38170192513655793,-0.7661629843088582,-0.5867718743261927,9.157381614113454e-24,4.890819066317623e-23,tested,1884.0
EIF2A,72,1.0,-0.020467385930873824,0.23979771420365562,-0.07681708616739971,0.03588231430565207,0.47129710529244395,0.4986635425677015,tested,7691.0
EIF2AK1,19,0.2638888888888889,0.07353927655441096,0.26519415907066574,,,,,insufficient_pairs,
EIF2AK2,72,1.0,0.18978699583613873,0.17152796405293036,0.1494799003800267,0.23009409129225075,4.5130671552921196e-14,1.1323440146019542e-13,tested,5028.0
EIF2AK3,25,0.3472222222222222,0.07502016436276003,0.8805773323885993,,,,,insufficient_pairs,
