gene,n,finite_fraction,mean_difference,sd_difference,ci_low,ci_high,p_value,q_value,status,absolute_effect_rank
C21orf62,37,1.0,-0.9519594419665096,0.7802281437820544,-1.2121004568291953,-0.6918184271038239,9.260055738616185e-09,2.7449295454619207e-08,tested,2863.0
C21orf91,37,1.0,-0.132332505158154,0.3696040076127409,-0.25556461669366426,-0.009100393622643782,0.03604839241167722,0.04855827819875193,tested,12848.0
C22orf15,37,1.0,-0.9353054392929486,0.35362258444123285,-1.0532090790527118,-0.8174017995331854,5.109846167251057e-18,8.375454094762022e-17,tested,2938.0
C22orf23,37,1.0,-0.08584098655680947,0.23813055371707115,-0.16523766611452143,-0.00644430699909751,0.034874428290491775,0.047057341355018684,tested,14292.0
C22orf29,37,1.0,-0.35426891531284704,0.24420430140759017,-0.4356906831743114,-0.27284714745138267,1.5715989171622444e-10,5.869060911771738e-10,tested,7936.0
C22orf31,37,1.0,-0.20708553629300566,0.1563137257280636,-0.2592031272462804,-0.15496794533973088,1.4150923937618694e-09,4.661524316963734e-09,tested,10904.0
C22orf39,37,1.0,-0.24511868205655457,0.2383266189359822,-0.3245807330129187,-0.16565663110019047,3.164472285161521e-07,7.801647634360657e-07,tested,10019.0
C22orf42,37,1.0,0.20069135872122773,0.21947240331629903,0.12751561623096064,0.2738671012114948,2.6741643943202496e-06,5.944508111243098e-06,tested,11064.0
C22orf46,37,1.0,-0.3885291510564497,0.314062472079905,-0.4932427926601961,-0.2838155094527033,6.805722110572385e-09,2.056722059777547e-08,tested,7416.0
C2CD2,37,1.0,0.574709308280185,0.41565585296479873,0.43612274704729215,0.7132958695130778,5.110173025187851e-10,1.7771451143855155e-09,tested,5231.0
C2CD2L,37,1.0,-0.6519708641089028,0.3642509785194354,-0.7734181868848435,-0.5305235413329621,6.10628728586903e-13,3.3180242462571875e-12,tested,4587.0
C2CD3,37,1.0,-0.28532244789752337,0.24715138587781174,-0.36772682264272977,-0.20291807315231697,3.0698945136343566e-08,8.505500911878403e-08,tested,9200.0
C2CD4A,37,1.0,-0.22069869927033012,0.3587002688069361,-0.3402953232867794,-0.1011020752538808,0.0006343594865026937,0.0010708531626236904,tested,10572.0
